Export permit no,Valid from,Valid to,Season,Export date,Country exported to,Permit serial number,SumOfWhole frozen WCRL ECRL exported,SumOfWhole live WCRL ECRL exported,SumOfTails exported WCRL ECRL
1709368,23-Nov-17,22-Feb-18,2017-2018,26-Nov-17,"Beijing, China",7254,0,640,0
1709368,23-Nov-17,22-Feb-18,2017-2018,26-Nov-17,"Hanoi, Vietnam",7252,0,700,0
1709368,23-Nov-17,22-Feb-18,2017-2018,26-Nov-17,"Hanoi, Vietnam",7253,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,28-Nov-17,"Beijing, China",7259,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,28-Nov-17,"Hanoi, Vietnam",7256,0,700,0
1709368,23-Nov-17,22-Feb-18,2017-2018,28-Nov-17,"Hanoi, Vietnam",7258,0,490,0
1709368,23-Nov-17,22-Feb-18,2017-2018,28-Nov-17,Hong Kong,7257,0,448,0
1709368,23-Nov-17,22-Feb-18,2017-2018,28-Nov-17,"Venice, Italy",7255,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,29-Nov-17,"Hanoi, Vietnam",7260,0,700,0
1709368,23-Nov-17,22-Feb-18,2017-2018,01-Dec-17,"Beijing, China",7263,0,450,0
1709368,23-Nov-17,22-Feb-18,2017-2018,01-Dec-17,China,7261,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,01-Dec-17,China,7262,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,01-Dec-17,Hong Kong,7264,0,294,0
1709368,23-Nov-17,22-Feb-18,2017-2018,04-Dec-17,"Hanoi, Vietnam",7266,0,630,0
1709368,23-Nov-17,22-Feb-18,2017-2018,04-Dec-17,Hong Kong,7265,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Dec-17,Hong Kong,7268,0,154,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Dec-17,Hong Kong,7269,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Dec-17,Hong Kong,7270,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Dec-17,Italy,7267,0,390,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Dec-17,"Shanghai, China",7271,0,200,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Dec-17,"Hanoi, Vietnam",7273,0,392,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Dec-17,Hong Kong,7272,0,392,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Dec-17,Hong Kong,7274,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Dec-17,Hong Kong,7277,0,280,0
1709368,23-Nov-17,22-Feb-18,2017-2018,07-Dec-17,"Beijing, China",7278,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,07-Dec-17,China,7275,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,07-Dec-17,Japan,7276,0,200,0
1709368,23-Nov-17,22-Feb-18,2017-2018,10-Dec-17,Hong Kong,7279,0,210,0
1709368,23-Nov-17,22-Feb-18,2017-2018,10-Dec-17,Hong Kong,7280,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Dec-17,Hong Kong,7282,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Dec-17,Hong Kong,7283,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Dec-17,Hong Kong,7286,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Dec-17,Hong Kong,7289,0,140,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Dec-17,Italy,7285,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Dec-17,"Shanghai, China",7281,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Dec-17,"Shanghai, China",7284,0,200,0
1709368,23-Nov-17,22-Feb-18,2017-2018,12-Dec-17,"Hanoi, Vietnam",7288,0,392,0
1709368,23-Nov-17,22-Feb-18,2017-2018,12-Dec-17,Hong Kong,7287,0,280,0
1709368,23-Nov-17,22-Feb-18,2017-2018,13-Dec-17,"Beijing, China",7290,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,13-Dec-17,"Beijing, China",7291,0,320,0
1709368,23-Nov-17,22-Feb-18,2017-2018,13-Dec-17,China,7292,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,13-Dec-17,"Shanghai, China",7293,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,16-Dec-17,China,7294,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,16-Dec-17,Hong Kong,7296,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,16-Dec-17,Hong Kong,7298,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Dec-17,Hong Kong,7299,0,168,0
1709368,23-Nov-17,22-Feb-18,2017-2018,19-Dec-17,Italy,7300,0,1200,0
1709368,23-Nov-17,22-Feb-18,2017-2018,19-Dec-17,Italy,7301,0,180,0
1709368,23-Nov-17,22-Feb-18,2017-2018,20-Dec-17,Italy,7302,0,180,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Dec-17,"Beijing, China",7303,0,400,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Dec-17,Hong Kong,7297,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Dec-17,Hong Kong,7304,0,560,0
1709368,23-Nov-17,22-Feb-18,2017-2018,27-Dec-17,"Beijing, China",7308,0,400,0
1709368,23-Nov-17,22-Feb-18,2017-2018,27-Dec-17,"Beijing, China",7309,0,450,0
1709368,23-Nov-17,22-Feb-18,2017-2018,27-Dec-17,Hong Kong,7307,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,27-Dec-17,"Venice, Italy",7306,0,720,0
1709368,23-Nov-17,22-Feb-18,2017-2018,29-Dec-17,Hong Kong,7310,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,30-Dec-17,Vietnam,7311,0,700,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Jan-18,"Beijing, China",7313,0,800,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Jan-18,"Beijing, China",7315,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Jan-18,"Beijing, China",7316,0,580,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Jan-18,Hong Kong,7314,0,560,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Jan-18,"Venice, Italy",7312,0,150,0
1709368,23-Nov-17,22-Feb-18,2017-2018,09-Jan-18,"Beijing, China",7321,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,09-Jan-18,Hong Kong,7319,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,09-Jan-18,Hong Kong,7320,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,09-Jan-18,Hong Kong,7323,0,630,0
1709368,23-Nov-17,22-Feb-18,2017-2018,09-Jan-18,Japan,7318,0,200,0
1709368,23-Nov-17,22-Feb-18,2017-2018,09-Jan-18,"Venice, Italy",7317,0,180,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Jan-18,"Beijing, China",7322,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Jan-18,"Venice, Italy",7324,0,180,0
1709368,23-Nov-17,22-Feb-18,2017-2018,14-Jan-18,"Hanoi, Vietnam",7329,0,1400,0
1709368,23-Nov-17,22-Feb-18,2017-2018,14-Jan-18,Hong Kong,7325,0,280,0
1709368,23-Nov-17,22-Feb-18,2017-2018,14-Jan-18,Hong Kong,7326,0,700,0
1709368,23-Nov-17,22-Feb-18,2017-2018,15-Jan-18,"Beijing, China",7328,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,15-Jan-18,Hong Kong,7327,0,560,0
1709368,23-Nov-17,22-Feb-18,2017-2018,16-Jan-18,"Beijing, China",7333,0,400,0
1709368,23-Nov-17,22-Feb-18,2017-2018,17-Jan-18,"Beijing, China",7331,0,500,0
1709368,23-Nov-17,22-Feb-18,2017-2018,17-Jan-18,"Hanoi, Vietnam",7332,0,700,0
1709368,23-Nov-17,22-Feb-18,2017-2018,17-Jan-18,Taiwan,7330,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Jan-18,"Beijing, China",7334,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Jan-18,"Beijing, China",7335,0,1400,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Jan-18,"Hanoi, Vietnam",7336,0,450,0
1709368,23-Nov-17,22-Feb-18,2017-2018,02-Feb-18,"Beijing, China",7344,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,02-Feb-18,Hong Kong,7337,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,02-Feb-18,Hong Kong,7347,0,560,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Feb-18,"Beijing, China",7339,0,400,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Feb-18,China,7363,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Feb-18,"Shanghai, China",7338,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,03-Feb-18,"Shanghai, China",7340,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,04-Feb-18,Hong Kong,7341,0,580,0
1709368,23-Nov-17,22-Feb-18,2017-2018,04-Feb-18,Hong Kong,7342,0,168,0
1709368,23-Nov-17,22-Feb-18,2017-2018,04-Feb-18,Hong Kong,7343,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Feb-18,Hong Kong,7345,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Feb-18,Hong Kong,7346,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,05-Feb-18,Japan,7348,0,200,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7350,0,150,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7351,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7352,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7353,0,364,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7354,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7355,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7356,0,322,0
1709368,23-Nov-17,22-Feb-18,2017-2018,06-Feb-18,China,7357,0,336,0
1709368,23-Nov-17,22-Feb-18,2017-2018,07-Feb-18,China,7358,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,07-Feb-18,China,7359,0,294,0
1709368,23-Nov-17,22-Feb-18,2017-2018,07-Feb-18,China,7360,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,07-Feb-18,China,7362,0,250,0
1709368,23-Nov-17,22-Feb-18,2017-2018,08-Feb-18,China,7364,0,280,0
1709368,23-Nov-17,22-Feb-18,2017-2018,08-Feb-18,China,7365,0,294,0
1709368,23-Nov-17,22-Feb-18,2017-2018,08-Feb-18,China,7366,0,322,0
1709368,23-Nov-17,22-Feb-18,2017-2018,08-Feb-18,China,7367,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,11-Feb-18,Italy,7368,0,240,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Feb-18,"Beijing, China",7371,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Feb-18,Hong Kong,7369,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Feb-18,Hong Kong,7370,0,140,0
1709368,23-Nov-17,22-Feb-18,2017-2018,18-Feb-18,"Hong Kong, China",7372,0,280,0
1709368,23-Nov-17,22-Feb-18,2017-2018,20-Feb-18,"Hong Kong, China",7373,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,20-Feb-18,"Hong Kong, China",7374,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,20-Feb-18,"Hong Kong, China",7376,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Feb-18,"Beijing, China",7380,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Feb-18,"Hong Kong, China",7375,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Feb-18,"Hong Kong, China",7378,0,280,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Feb-18,"Hong Kong, China",7379,0,420,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Feb-18,"Hong Kong, China",7381,0,350,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Feb-18,"Shanghai, China",7377,0,300,0
1709368,23-Nov-17,22-Feb-18,2017-2018,21-Mar-18,Hong Kong,7305,0,420,0
1709464,29-Nov-17,28-Feb-18,2017-2018,18-Feb-07,China,7406,0,300,0
1709464,29-Nov-17,28-Feb-18,2017-2018,12-Dec-17,Japan,7402,0,100,0
1709464,29-Nov-17,28-Feb-18,2017-2018,12-Dec-17,Japan,7403,0,340,0
1709464,29-Nov-17,28-Feb-18,2017-2018,09-Jan-18,China,7404,0,190,0
1709464,29-Nov-17,28-Feb-18,2017-2018,11-Jan-18,Japan,7405,0,150,0
1709464,29-Nov-17,28-Feb-18,2017-2018,13-Feb-18,Hong Kong,7407,0,500,0
1709464,29-Nov-17,28-Feb-18,2017-2018,19-Feb-18,Hong Kong,7408,0,350,0
1709464,29-Nov-17,28-Feb-18,2017-2018,20-Feb-18,Taiwan,7409,0,330,0
1709464,29-Nov-17,28-Feb-18,2017-2018,21-Feb-18,China,7410,0,210,0
1709464,29-Nov-17,28-Feb-18,2017-2018,24-Feb-18,China,7411,0,450,0
1709465,29-Nov-17,28-Feb-18,2017-2018,21-Dec-17,Japan,7419,0,120,0
1709465,29-Nov-17,28-Feb-18,2017-2018,21-Dec-17,Japan,7420,0,150,0
1709465,29-Nov-17,28-Feb-18,2017-2018,09-Jan-18,China,7422,0,120,0
1709465,29-Nov-17,28-Feb-18,2017-2018,26-Jan-18,"Hong Kong, China",7423,0,350,0
1709465,29-Nov-17,28-Feb-18,2017-2018,30-Jan-18,China,7421,0,40,0
1709465,29-Nov-17,28-Feb-18,2017-2018,31-Jan-18,Hong Kong,7424,0,560,0
1709465,29-Nov-17,28-Feb-18,2017-2018,04-Feb-18,China,7425,0,450,0
1709465,29-Nov-17,28-Feb-18,2017-2018,04-Feb-18,Hong Kong,7426,0,490,0
1709465,29-Nov-17,28-Feb-18,2017-2018,18-Feb-18,China,9340,0,290,0
1709465,29-Nov-17,28-Feb-18,2017-2018,18-Feb-18,China,9341,0,400,0
1709465,29-Nov-17,28-Feb-18,2017-2018,23-Feb-18,China,9342,0,100,0
1709465,29-Nov-17,28-Feb-18,2017-2018,25-Feb-18,Hong Kong,9343,0,140,0
1709465,29-Nov-17,28-Feb-18,2017-2018,28-Feb-18,China,9344,0,100,0
1709595,30-Nov-17,28-Feb-18,2017-2018,04-Dec-17,China,7433,0,149,0
1709595,30-Nov-17,28-Feb-18,2017-2018,11-Dec-17,China,7427,0,300,0
1709595,30-Nov-17,28-Feb-18,2017-2018,11-Dec-17,China,7428,0,150,0
1709595,30-Nov-17,28-Feb-18,2017-2018,13-Dec-17,China,7429,0,200,0
1709595,30-Nov-17,28-Feb-18,2017-2018,21-Dec-17,China,7430,0,150,0
1709595,30-Nov-17,28-Feb-18,2017-2018,28-Dec-17,Italy,7431,0,20,0
1709595,30-Nov-17,28-Feb-18,2017-2018,29-Dec-17,China,7432,0,560,0
1709595,30-Nov-17,28-Feb-18,2017-2018,29-Dec-17,China,7434,0,160,0
1709664,29-Nov-17,28-Feb-18,2017-2018,11-Dec-17,Hong Kong,7439,0,700,0
1709664,29-Nov-17,28-Feb-18,2017-2018,15-Dec-17,"Shanghai, China",7440,0,462,0
1709664,29-Nov-17,28-Feb-18,2017-2018,28-Dec-17,Hong Kong,7441,0,672,0
1709664,29-Nov-17,28-Feb-18,2017-2018,09-Jan-18,"Shanghai, China",7442,0,504,0
1709664,29-Nov-17,28-Feb-18,2017-2018,13-Jan-18,Hong Kong,7443,0,560,0
1709664,29-Nov-17,28-Feb-18,2017-2018,23-Jan-18,Hong Kong,7444,0,840,0
1709664,29-Nov-17,28-Feb-18,2017-2018,31-Jan-18,Hong Kong,7447,0,420,0
1709664,29-Nov-17,28-Feb-18,2017-2018,31-Jan-18,"Shanghai, China",7445,0,308,0
1709664,29-Nov-17,28-Feb-18,2017-2018,03-Feb-18,Hong Kong,7446,0,560,0
1709664,29-Nov-17,28-Feb-18,2017-2018,10-Feb-18,Hong Kong,7448,0,270,0
1709664,29-Nov-17,28-Feb-18,2017-2018,19-Feb-18,"Shanghai, China",7449,0,337,0
1709697,04-Dec-17,03-Mar-18,2017-2018,12-Dec-17,China,7460,0,300,0
1709697,04-Dec-17,03-Mar-18,2017-2018,12-Dec-17,China,7461,0,700,0
1709697,04-Dec-17,03-Mar-18,2017-2018,12-Dec-17,Japan,7458,0,200,0
1709697,04-Dec-17,03-Mar-18,2017-2018,12-Dec-17,Japan,7459,0,150,0
1709697,04-Dec-17,03-Mar-18,2017-2018,10-Jan-18,Japan,7462,0,150,0
1709697,04-Dec-17,03-Mar-18,2017-2018,22-Jan-18,Japan,7463,0,250,0
1709697,04-Dec-17,03-Mar-18,2017-2018,23-Jan-18,Japan,7464,0,150,0
1709697,04-Dec-17,03-Mar-18,2017-2018,25-Jan-18,Japan,7465,0,200,0
1709697,04-Dec-17,03-Mar-18,2017-2018,06-Feb-18,Japan,7466,0,150,0
1709697,04-Dec-17,03-Mar-18,2017-2018,07-Feb-18,Japan,7467,0,300,0
1709697,04-Dec-17,03-Mar-18,2017-2018,19-Feb-18,Japan,7468,0,200,0
1709697,04-Dec-17,03-Mar-18,2017-2018,19-Feb-18,Japan,7469,0,200,0
1709698,04-Dec-17,03-Mar-18,2017-2018,18-Dec-17,Japan,7473,0,150,0
1709698,04-Dec-17,03-Mar-18,2017-2018,18-Dec-17,Japan,7474,0,300,0
1709698,04-Dec-17,03-Mar-18,2017-2018,19-Dec-17,Italy,7476,0,300,0
1709698,04-Dec-17,03-Mar-18,2017-2018,19-Dec-17,Japan,7477,0,60,0
1709698,04-Dec-17,03-Mar-18,2017-2018,22-Dec-17,Taiwan,7478,0,120,0
1709698,04-Dec-17,03-Mar-18,2017-2018,28-Dec-17,Italy,7479,0,36,0
1709698,04-Dec-17,03-Mar-18,2017-2018,28-Dec-17,Taiwan,7480,0,100,0
1709698,04-Dec-17,03-Mar-18,2017-2018,07-Feb-18,Taiwan,7483,0,520,0
1709698,04-Dec-17,03-Mar-18,2017-2018,13-Feb-18,China,7484,0,410,0
1709698,04-Dec-17,03-Mar-18,2017-2018,20-Feb-18,Hong Kong,7485,0,154,0
1709698,04-Dec-17,03-Mar-18,2017-2018,24-Feb-18,Hong Kong,7486,0,700,0
1709698,04-Dec-17,03-Mar-18,2017-2018,28-Feb-18,Taiwan,7487,0,420,0
1709743,07-Dec-17,06-Mar-18,2017-2018,09-Jan-18,China,7570,0,294,0
1709743,07-Dec-17,06-Mar-18,2017-2018,15-Jan-18,China,7571,0,300,0
1709743,07-Dec-17,06-Mar-18,2017-2018,16-Jan-18,China,7572,0,230,0
1709743,07-Dec-17,06-Mar-18,2017-2018,25-Jan-18,China,7573,0,230,0
