SEASON,SECTOR,VESSEL ACTIVE
2018-2019,SSF,PNA275
2018-2019,SSF,PNA278
2018-2019,SSF,PNA281
2018-2019,SSF,PNA283
2018-2019,SSF,PNA285
2018-2019,SSF,PNA287
2018-2019,SSF,PNA288
2018-2019,SSF,PNA290
2018-2019,SSF,PNA291
2018-2019,SSF,PNA295
2018-2019,SSF,PNA300
2018-2019,SSF,PNA302
2018-2019,SSF,PNA309
2018-2019,SSF,PNA608
2018-2019,SSF,VR1490
2018-2019,WCRLN,ADF102
2018-2019,WCRLN,ADF104
2018-2019,WCRLN,ADF109
2018-2019,WCRLN,ADF113
2018-2019,WCRLN,ADF114
2018-2019,WCRLN,ADF115
2018-2019,WCRLN,ADF116
2018-2019,WCRLN,ADF118
2018-2019,WCRLN,ADF121
2018-2019,WCRLN,ADF122
2018-2019,WCRLN,ADF129
2018-2019,WCRLN,ADF131
2018-2019,WCRLN,ADF133
2018-2019,WCRLN,ADF137
2018-2019,WCRLN,ADF140
2018-2019,WCRLN,ADF141
2018-2019,WCRLN,ADF150
2018-2019,WCRLN,ADF173
2018-2019,WCRLN,ADF175
2018-2019,WCRLN,ADF183
2018-2019,WCRLN,ADF192
2018-2019,WCRLN,ADF197
2018-2019,WCRLN,ADF200
2018-2019,WCRLN,ADF204
2018-2019,WCRLN,ADF210
2018-2019,WCRLN,ADF222
2018-2019,WCRLN,ADF310
2018-2019,WCRLN,ADF311
2018-2019,WCRLN,ADF312
2018-2019,WCRLN,ADF314
2018-2019,WCRLN,ADF315
2018-2019,WCRLN,ADF317
2018-2019,WCRLN,ADF320
2018-2019,WCRLN,ADF322
2018-2019,WCRLN,ADF323
2018-2019,WCRLN,ADF324
2018-2019,WCRLN,ADF326
2018-2019,WCRLN,ADF328
2018-2019,WCRLN,ADF329
2018-2019,WCRLN,ADF330
2018-2019,WCRLN,ADF331
2018-2019,WCRLN,ADF332
2018-2019,WCRLN,ADF335
2018-2019,WCRLN,ADF338
2018-2019,WCRLN,ADF340
2018-2019,WCRLN,ADF341
2018-2019,WCRLN,ADF342
2018-2019,WCRLN,ADF344
2018-2019,WCRLN,ADF345
2018-2019,WCRLN,ADF347
2018-2019,WCRLN,ADF348
2018-2019,WCRLN,ADF3501
2018-2019,WCRLN,ADF352
2018-2019,WCRLN,ADF388
2018-2019,WCRLN,ADF425
2018-2019,WCRLN,ADF461
2018-2019,WCRLN,ADF472
2018-2019,WCRLN,ADF481
2018-2019,WCRLN,ADF512
2018-2019,WCRLN,ADF519
2018-2019,WCRLN,ADF520
2018-2019,WCRLN,ADF601
2018-2019,WCRLN,ADF737
2018-2019,WCRLN,ADF741
2018-2019,WCRLN,ADF820
2018-2019,WCRLN,BR255
2018-2019,WCRLN,BR271
2018-2019,WCRLN,BR277
2018-2019,WCRLN,BR290
2018-2019,WCRLN,C103
2018-2019,WCRLN,C107
2018-2019,WCRLN,C112
2018-2019,WCRLN,C114
2018-2019,WCRLN,C120
2018-2019,WCRLN,C127
2018-2019,WCRLN,C141
2018-2019,WCRLN,C148
2018-2019,WCRLN,C165
2018-2019,WCRLN,C168
2018-2019,WCRLN,C2
2018-2019,WCRLN,C217
2018-2019,WCRLN,C31
2018-2019,WCRLN,C337
2018-2019,WCRLN,C34
2018-2019,WCRLN,C340
2018-2019,WCRLN,C341
2018-2019,WCRLN,C349
2018-2019,WCRLN,C37
2018-2019,WCRLN,C374
2018-2019,WCRLN,C378
2018-2019,WCRLN,C379
2018-2019,WCRLN,C381
2018-2019,WCRLN,C384
2018-2019,WCRLN,C389
2018-2019,WCRLN,C397
2018-2019,WCRLN,C406
2018-2019,WCRLN,C41
2018-2019,WCRLN,C414
2018-2019,WCRLN,C417
2018-2019,WCRLN,C42
2018-2019,WCRLN,C427
2018-2019,WCRLN,C429
2018-2019,WCRLN,C43
2018-2019,WCRLN,C433
2018-2019,WCRLN,C436
2018-2019,WCRLN,C439
2018-2019,WCRLN,C442
2018-2019,WCRLN,C444
2018-2019,WCRLN,C455
2018-2019,WCRLN,C458
2018-2019,WCRLN,C461
2018-2019,WCRLN,C462
2018-2019,WCRLN,C474
2018-2019,WCRLN,C477
2018-2019,WCRLN,C478
2018-2019,WCRLN,C479
2018-2019,WCRLN,C484
2018-2019,WCRLN,C487
2018-2019,WCRLN,C490
2018-2019,WCRLN,C509
2018-2019,WCRLN,C514
2018-2019,WCRLN,C516
2018-2019,WCRLN,C525
2018-2019,WCRLN,C528
2018-2019,WCRLN,C54
2018-2019,WCRLN,C541
2018-2019,WCRLN,C543
2018-2019,WCRLN,C545
2018-2019,WCRLN,C548
2018-2019,WCRLN,C549
2018-2019,WCRLN,C55
2018-2019,WCRLN,C58
2018-2019,WCRLN,C72
2018-2019,WCRLN,C75
2018-2019,WCRLN,C77
2018-2019,WCRLN,C83
2018-2019,WCRLN,C88
2018-2019,WCRLN,CT1009
2018-2019,WCRLN,CT1025
2018-2019,WCRLN,CT1036
2018-2019,WCRLN,CT523
2018-2019,WCRLN,CT722
2018-2019,WCRLN,CT723
2018-2019,WCRLN,CT733
2018-2019,WCRLN,CT737
2018-2019,WCRLN,CT754
2018-2019,WCRLN,CT804
2018-2019,WCRLN,CT824
2018-2019,WCRLN,CT860
2018-2019,WCRLN,CT869
2018-2019,WCRLN,CT900
2018-2019,WCRLN,CT902
2018-2019,WCRLN,CT910
2018-2019,WCRLN,CT917
2018-2019,WCRLN,CT920
2018-2019,WCRLN,CT922
2018-2019,WCRLN,CT934
2018-2019,WCRLN,CT936
2018-2019,WCRLN,CT962
2018-2019,WCRLN,CTA52
2018-2019,WCRLN,CTA748
2018-2019,WCRLN,DDF101
2018-2019,WCRLN,DDF149
2018-2019,WCRLN,DDF200
2018-2019,WCRLN,DDF235
2018-2019,WCRLN,DDF264
2018-2019,WCRLN,DDF316
2018-2019,WCRLN,DDF340
2018-2019,WCRLN,DDF365
2018-2019,WCRLN,DDF369
2018-2019,WCRLN,DDF370
2018-2019,WCRLN,DDF371
2018-2019,WCRLN,DDF379
2018-2019,WCRLN,DDF38
2018-2019,WCRLN,DDF400
2018-2019,WCRLN,DDF404
2018-2019,WCRLN,DDF92
2018-2019,WCRLN,HB2
2018-2019,WCRLN,HTB260
2018-2019,WCRLN,HTB297
2018-2019,WCRLN,KB124
2018-2019,WCRLN,KB154
2018-2019,WCRLN,PNA126
2018-2019,WCRLN,PNA363
2018-2019,WCRLN,PNA369
2018-2019,WCRLN,PNA454
2018-2019,WCRLN,PNA579
2018-2019,WCRLN,PNA580
2018-2019,WCRLN,PNA595
2018-2019,WCRLN,PNA597
2018-2019,WCRLN,PNA600
2018-2019,WCRLN,PNA605
2018-2019,WCRLN,PNA613
2018-2019,WCRLN,PNA622
2018-2019,WCRLN,PQ1046
2018-2019,WCRLN,PQ1070
2018-2019,WCRLN,PQ1076
2018-2019,WCRLN,PQ2009
2018-2019,WCRLN,PQ2019
2018-2019,WCRLN,PQ2054
2018-2019,WCRLN,PQ2066
2018-2019,WCRLN,PQ255
2018-2019,WCRLN,PQ576
2018-2019,WCRLN,PQ68
2018-2019,WCRLN,PQ801
2018-2019,WCRLN,PQ991
2018-2019,WCRLN,PQ993
2018-2019,WCRLN,PQ994
2018-2019,WCRLN,PQ998
2018-2019,WCRLN,SH1269
2018-2019,WCRLN,SH1410
2018-2019,WCRLN,SH1417
2018-2019,WCRLN,SH1443
2018-2019,WCRLN,SH1454
2018-2019,WCRLN,SH1457
2018-2019,WCRLN,SH1460
2018-2019,WCRLN,SH1461
2018-2019,WCRLN,SH1492
2018-2019,WCRLN,SM65
2018-2019,WCRLN,SM67
2018-2019,WCRLN,SM68
2018-2019,WCRLN,SM70
2018-2019,WCRLN,SM75
2018-2019,WCRLN,SM78
2018-2019,WCRLN,SM84
2018-2019,WCRLN,SM86
2018-2019,WCRLN,SM93
2018-2019,WCRLN,ST1127
2018-2019,WCRLN,ST1148
2018-2019,WCRLN,ST1156
2018-2019,WCRLN,ST1175
2018-2019,WCRLN,ST1191
2018-2019,WCRLN,ST1198
2018-2019,WCRLN,ST1477
2018-2019,WCRLN,ST1481
2018-2019,WCRLN,ST1486
2018-2019,WCRLN,ST1503
2018-2019,WCRLN,ST1511
2018-2019,WCRLN,ST1512
2018-2019,WCRLN,ST171
2018-2019,WCRLN,ST241
2018-2019,WCRLN,ST4
2018-2019,WCRLN,STH119
2018-2019,WCRLN,SW115
2018-2019,WCRLN,SW125
2018-2019,WCRLN,SW126
2018-2019,WCRLN,SW234
2018-2019,WCRLN,SW340
2018-2019,WCRLN,SW452
2018-2019,WCRLN,SW459
2018-2019,WCRLN,SW461
2018-2019,WCRLN,SW471
2018-2019,WCRLN,SW472
2018-2019,WCRLN,SW475
2018-2019,WCRLN,SW478
2018-2019,WCRLN,SW50
2018-2019,WCRLN,VR1456
2018-2019,WCRLN,VR1458
2018-2019,WCRLN,VR1464
2018-2019,WCRLN,VR1469
2018-2019,WCRLN,VR1472
2018-2019,WCRLN,VR1491
2018-2019,WCRLN,VR17
2018-2019,WCRLN,VR20
2017-2018,WCRLN,ADF109
2017-2018,WCRLN,ADF113
2017-2018,WCRLN,ADF114
2017-2018,WCRLN,ADF115
2017-2018,WCRLN,ADF116
2017-2018,WCRLN,ADF121
2017-2018,WCRLN,ADF133
2017-2018,WCRLN,ADF140
2017-2018,WCRLN,ADF173
2017-2018,WCRLN,ADF183
2017-2018,WCRLN,ADF184
2017-2018,WCRLN,ADF197
2017-2018,WCRLN,ADF200
