New right number,Quota_code,Currently_active,Right granted on appeal,Sector,2017_2018 TAC_Allocation,2016_2017 over catch,2017_2018 final TAC,2018_2019 TAC_Allocation,2017_2018 over catch,2018_2019 final TAC,2017-2018 Total Landings,2017-2018 percentage TAC caught,2018-2019 Total Landings,2018-2019 percentage TAC caught,Nearshore_zone,allocation34_1718,allocation7_1718,allocation8_1718,allocation11_1718,allocation34_1819,allocation7_1819,allocation8_1819,allocation11_1819
0,10000,Yes,FALSE,IR,2208,0,2208,818,0,818,2331.82,105.61,778.4,95.16,F13,0,0,0,0,0,0,0,0
0,10001,Yes,FALSE,IR,1877,136,1741,1326,0,1326,1741.7,100.04,528.1,39.83,C,0,0,0,0,0,0,0,0
0,10002,Yes,FALSE,IR,3202,0,3202,1420,0,1420,3212.91,100.34,1417.5,99.82,F13,0,0,0,0,0,0,0,0
0,10003,Yes,FALSE,IR,6955,301,6654,3155,0,3155,6783.72,101.95,3195.13,101.27,F13,0,0,0,0,0,0,0,0
0,10004,Yes,FALSE,IR,2208,0,2208,1613,0,1613,2204.75,99.85,1241.4,76.96,C,0,0,0,0,0,0,0,0
0,10005,Yes,FALSE,IR,3974,0,3974,3032,0,3032,3003.4,75.58,1851,61.05,C,0,0,0,0,0,0,0,0
0,10006,Yes,FALSE,IR,9688,0,9688,8282,0,8282,9163.34,94.58,8029.9,96.96,B,0,0,0,0,0,0,0,0
0,10007,Yes,FALSE,IR,4099,0,4099,3546,0,3546,3910.31,95.4,3699.4,104.33,B,0,0,0,0,0,0,0,0
0,10008,Yes,FALSE,IR,14656,0,14656,12677,0,12677,13411.81,91.51,13573.47,107.07,B,0,0,0,0,0,0,0,0
0,10009,Yes,FALSE,IR,0,0,0,0,0,0,0,0,0,0,F13,0,0,0,0,0,0,0,0
0,10010,Yes,FALSE,IR,8942,1697,7245,2851,0,2851,8998.18,124.2,2672.51,93.74,F13,0,0,0,0,0,0,0,0
0,10011,Yes,FALSE,IR,10709,185.27,10523.73,4071,0,4071,10202.86,96.95,3937.5,96.72,D,0,0,0,0,0,0,0,0
0,10012,Yes,FALSE,IR,10246,3084,7162,4511,0,4511,7162,100,3869.65,85.78,F13,0,0,0,0,0,0,0,0
0,10013,Yes,FALSE,IR,8390,0,8390,3710,0,3710,8389.3,99.99,3709.3,99.98,E,0,0,0,0,0,0,0,0
0,10014,No,FALSE,IR,4968,0,4968,0,0,0,70,1.41,0,0,A,0,0,0,0,0,0,0,0
0,10015,Yes,FALSE,IR,1987,0,1987,1516,0,1516,1882.22,94.73,65,4.29,C,0,0,0,0,0,0,0,0
0,10016,Yes,FALSE,IR,5520,0,5520,2414,0,2414,5520.8,100.01,2481.2,102.78,D,0,0,0,0,0,0,0,0
0,10017,Yes,FALSE,IR,6514,0,6514,2370,0,2370,6514.9,100.01,2258,95.27,D,0,0,0,0,0,0,0,0
0,10018,Yes,FALSE,IR,3422,0,3422,1310,0,1310,3426.9,100.14,1504.05,114.81,D,0,0,0,0,0,0,0,0
0,10019,Yes,FALSE,IR,4858,0,4858,2140,0,2140,4989.38,102.7,2129.55,99.51,F13,0,0,0,0,0,0,0,0
0,10020,Yes,FALSE,IR,3478,425,3053,2654,0,2654,2432,79.66,2652.3,99.94,C,0,0,0,0,0,0,0,0
0,10021,Yes,FALSE,IR,7949,972,6977,6036,0,6036,1326.5,19.01,5891.86,97.61,C,0,0,0,0,0,0,0,0
0,10022,Yes,FALSE,IR,14407,288,14119,12401,0,12401,6186.4,43.82,10804.45,87.13,B,0,0,0,0,0,0,0,0
0,10023,Yes,FALSE,IR,1104,0,1104,491,0,491,813.9,73.72,491,100,D,0,0,0,0,0,0,0,0
0,10024,Yes,FALSE,IR,3353,42,3311,2558,0,2558,0,0,0,0,C,0,0,0,0,0,0,0,0
