SEASON,SECTOR,PERMIT_NUMBER,RIGHT_NUMBER,PERMIT_STATUS_NAME,Quota_code
2017-2018,WCRLN,1012838,WCNB01445,Deleted,0
2017-2018,WCRLN,1013341,WCNG01112,Deleted,0
2017-2018,WCRLN,1101920,WCNB01365,Deleted,0
2017-2018,WCRLN,1405004,WCNG01475,Deleted,0
2017-2018,WCRLN,1504704,WCNE02507,Awaiting approval,0
2017-2018,WCRLN,1708786,WCNF150879,Cancelled,0
2017-2018,WCRLN,1708789,WCNF152703,Cancelled,0
2017-2018,WCRLN,1708791,WCNE150316,Expired,0
2017-2018,WCRLN,1708796,WCNF150974,Expired,0
2017-2018,WCRLN,1708823,WCNF150469,Cancelled,0
2017-2018,WCRLN,1708840,WCNF152530,Cancelled,0
2017-2018,WCRLN,1708843,WCNF150159,Cancelled,0
2017-2018,WCRLN,1708845,WCNE150317,Expired,0
2017-2018,WCRLN,1708846,WCNF152231,Cancelled,0
2017-2018,WCRLN,1708848,WCNF151157,Cancelled,0
2017-2018,WCRLN,1708849,WCNF150426,Cancelled,0
2017-2018,WCRLN,1708881,WCND151429,Expired,0
2017-2018,WCRLN,1708882,WCND150912,Cancelled,0
2017-2018,WCRLN,1708883,WCNF150461,Cancelled,0
2017-2018,WCRLN,1708884,WCND150914,Expired,0
2017-2018,WCRLN,1708885,WCND151405,Expired,0
2017-2018,WCRLN,1708886,WCND151268,Expired,0
2017-2018,WCRLN,1708888,WCND151290,Expired,0
2017-2018,WCRLN,1708928,WCNF150393,Cancelled,0
2017-2018,WCRLN,1708929,WCNF150188,Cancelled,0
2017-2018,WCRLN,1708934,WCNF150023,Cancelled,0
2017-2018,WCRLN,1708938,WCNF150325,Cancelled,0
2017-2018,WCRLN,1708939,WCND151628,Expired,0
2017-2018,WCRLN,1708940,WCND151252,Cancelled,0
2017-2018,WCRLN,1708942,WCND150916,Cancelled,0
2017-2018,WCRLN,1708945,WCNF152267,Cancelled,0
2017-2018,WCRLN,1708946,WCNF151228,Cancelled,0
2017-2018,WCRLN,1708947,WCNF150392,Cancelled,0
2017-2018,WCRLN,1708948,WCNF150036,Cancelled,0
2017-2018,WCRLN,1708949,WCNF150351,Cancelled,0
2017-2018,WCRLN,1708950,WCNF150035,Cancelled,0
2017-2018,WCRLN,1708951,WCNF150261,Cancelled,0
2017-2018,WCRLN,1708954,WCNF150291,Cancelled,0
2017-2018,WCRLN,1708955,WCNF150716,Cancelled,0
2017-2018,WCRLN,1708991,WCNF152163,Cancelled,0
2017-2018,WCRLN,1709001,WCNB15714,Expired,0
2017-2018,WCRLN,1709023,WCNF151204,Cancelled,0
2017-2018,WCRLN,1709025,WCNF150748,Cancelled,0
2017-2018,WCRLN,1709027,WCNF151275,Cancelled,0
2017-2018,WCRLN,1709031,WCNF150098,Cancelled,0
2017-2018,WCRLN,1709032,WCNF150329,Cancelled,0
2017-2018,WCRLN,1709035,WCNF150366,Cancelled,0
2017-2018,WCRLN,1709040,WCNC15181,Cancelled,0
2017-2018,WCRLN,1709064,WCNF151265,Cancelled,0
2017-2018,WCRLN,1709066,WCNB15460,Expired,0
2017-2018,WCRLN,1709070,WCNB151096,Expired,0
2017-2018,WCRLN,1709071,WCNB15457,Expired,0
2017-2018,WCRLN,1709072,WCNB15819,Expired,0
2017-2018,WCRLN,1709073,WCNB15711,Expired,0
2017-2018,WCRLN,1709074,WCNB15888,Expired,0
2017-2018,WCRLN,1709075,WCNB15178,Expired,0
2017-2018,WCRLN,1709083,WCNF150534,Cancelled,0
2017-2018,WCRLN,1709084,WCNF150991,Cancelled,0
2017-2018,WCRLN,1709085,WCNF150784,Expired,0
2017-2018,WCRLN,1709087,WCNF150215,Cancelled,0
2017-2018,WCRLN,1709090,WCNF150327,Cancelled,0
2017-2018,WCRLN,1709091,WCNE150322,Expired,0
2017-2018,WCRLN,1709092,WCNF150328,Cancelled,0
2017-2018,WCRLN,1709093,WCNF150770,Cancelled,0
2017-2018,WCRLN,1709094,WCNF151296,Cancelled,0
2017-2018,WCRLN,1709095,WCNF152220,Cancelled,0
2017-2018,WCRLN,1709096,WCNF150010,Cancelled,0
2017-2018,WCRLN,1709097,WCNF150984,Cancelled,0
2017-2018,WCRLN,1709098,WCNF150344,Cancelled,0
2017-2018,WCRLN,1709099,WCNF150979,Cancelled,0
2017-2018,WCRLN,1709100,WCNF150016,Cancelled,0
2017-2018,WCRLN,1709108,WCNF150287,Cancelled,0
2017-2018,WCRLN,1709110,WCNF150563,Cancelled,0
2017-2018,WCRLN,1709112,WCNF150511,Cancelled,0
2017-2018,WCRLN,1709114,WCNF150523,Cancelled,0
2017-2018,WCRLN,1709115,WCNB15220,Expired,0
