SEASON,QUOTA_CODE,VESSEL_ID,VESSEL_NAME,AREA_NUMBER,TOTAL_MASS
2017-2018,269,10880,ADAMAS,11,120.9
2017-2018,272,3243,AIMEE,8,312.2
2017-2018,272,3243,AIMEE,8,142.5
2017-2018,286,3243,AIMEE,11,196.4
2017-2018,286,3243,AIMEE,8,273.4
2017-2018,286,3243,AIMEE,8,394.2
2017-2018,286,3243,AIMEE,8,122.9
2017-2018,286,3243,AIMEE,8,105.4
2017-2018,286,3243,AIMEE,8,338.1
2017-2018,286,3243,AIMEE,8,157.8
2017-2018,271,3243,AIMEE,8,425.4
2017-2018,271,3243,AIMEE,8,239.6
2017-2018,271,3243,AIMEE,8,371.2
2017-2018,271,3243,AIMEE,8,55
2017-2018,271,3243,AIMEE,8,346.1
2017-2018,271,3243,AIMEE,8,282.1
2017-2018,4,3243,AIMEE,8,133
2017-2018,4,3243,AIMEE,8,55.1
2017-2018,194,1077,ALANA,4,80.8
2017-2018,194,1077,ALANA,8,401.4
2017-2018,194,1077,ALANA,8,539.9
2017-2018,194,1077,ALANA,7,90.7
2017-2018,194,1077,ALANA,7,196.3
2017-2018,194,1077,ALANA,4,49.1
2017-2018,194,1077,ALANA,4,104.7
2017-2018,194,1077,ALANA,4,120.1
2017-2018,194,1077,ALANA,3,186.5
2017-2018,194,1077,ALANA,3,95.9
2017-2018,194,1077,ALANA,3,88
2017-2018,194,1077,ALANA,3,89.9
2017-2018,194,1077,ALANA,3,99.6
2017-2018,194,1077,ALANA,3,105.9
2017-2018,194,1077,ALANA,3,182.4
2017-2018,194,1077,ALANA,3,67.7
2017-2018,194,1077,ALANA,3,65.2
2017-2018,297,384,ANG JERRY ,8,986
2017-2018,170,384,ANG JERRY ,8,366
2017-2018,170,384,ANG JERRY ,8,284.8
2017-2018,170,384,ANG JERRY ,8,446.3
2017-2018,170,384,ANG JERRY ,8,744.4
2017-2018,170,384,ANG JERRY ,8,338
2017-2018,157,384,ANG JERRY ,11,700.5
2017-2018,157,384,ANG JERRY ,8,1210.5
2017-2018,157,384,ANG JERRY ,8,232.3
2017-2018,157,384,ANG JERRY ,8,135.8
2017-2018,157,384,ANG JERRY ,8,58.3
2017-2018,155,384,ANG JERRY ,8,713.5
2017-2018,155,384,ANG JERRY ,8,478.6
2017-2018,3,384,ANG JERRY ,8,588.5
2017-2018,3,384,ANG JERRY ,8,522.8
2017-2018,3,384,ANG JERRY ,8,646.6
2017-2018,3,384,ANG JERRY ,8,433.1
2017-2018,3,384,ANG JERRY ,8,310.5
2017-2018,3,384,ANG JERRY ,8,869.3
2017-2018,3,384,ANG JERRY ,8,423.3
2017-2018,3,384,ANG JERRY ,8,506.8
2017-2018,3,384,ANG JERRY ,8,654.1
2017-2018,136,384,ANG JERRY ,8,227
2017-2018,136,384,ANG JERRY ,8,294.8
2017-2018,136,384,ANG JERRY ,8,642.6
2017-2018,136,384,ANG JERRY ,8,179.7
2017-2018,11,1395,ASKALA,3,56.7
2017-2018,11,1395,ASKALA,3,34
2017-2018,11,1395,ASKALA,3,45.8
2017-2018,11,1395,ASKALA,3,37
2017-2018,11,1395,ASKALA,3,113.6
2017-2018,11,1395,ASKALA,3,82.3
2017-2018,11,1395,ASKALA,3,49.1
2017-2018,11,1395,ASKALA,3,47.9
2017-2018,257,3340,ATLANTIC BLESSING,8,978
2017-2018,257,3340,ATLANTIC BLESSING,7,216.9
2017-2018,257,3340,ATLANTIC BLESSING,7,68.6
2017-2018,257,3340,ATLANTIC BLESSING,8,256.3
2017-2018,299,3340,ATLANTIC BLESSING,8,1704.1
2017-2018,276,3340,ATLANTIC BLESSING,8,1704.1
2017-2018,268,3340,ATLANTIC BLESSING,11,319.3
2017-2018,268,3340,ATLANTIC BLESSING,8,558
2017-2018,268,3340,ATLANTIC BLESSING,7,28.1
2017-2018,268,3340,ATLANTIC BLESSING,7,22.3
2017-2018,262,3340,ATLANTIC BLESSING,11,319.3
2017-2018,262,3340,ATLANTIC BLESSING,8,605.8
2017-2018,262,3340,ATLANTIC BLESSING,8,808.2
2017-2018,262,3340,ATLANTIC BLESSING,7,50.4
2017-2018,283,3340,ATLANTIC BLESSING,8,1248.9
2017-2018,279,3340,ATLANTIC BLESSING,11,33.5
2017-2018,279,3340,ATLANTIC BLESSING,8,730.5
