Export permit no,Export_permit_holder,Rights_Holder,Season,Species
2000701,permit_holder_d,a_right_holder,2019-2020,WCRL
2000835,permit_holder_c,b_right_holder,2019-2020,WCRL
2000975,permit_holder_e,c_right_holder,2019-2020,WCRL
2001061,permit_holder_c,d_right_holder,2019-2020,SCRL
2000975,permit_holder_e,e_right_holder,2019-2020,WCRL
2000700,permit_holder_d,f_right_holder,2019-2020,WCRL
2000834,permit_holder_c,g_right_holder,2019-2020,WCRL
2000834,permit_holder_c,h_right_holder,2019-2020,WCRL
2000777,permit_holder_c,i_right_holder,2019-2020,WCRL
2000834,permit_holder_c,j_right_holder,2019-2020,WCRL
1911264,permit_holder_c,k_right_holder,2019-2020,WCRL
1911249,permit_holder_f,l_right_holder_community,2019-2020,WCRL
2001061,permit_holder_c,m_right_holder,2019-2020,SCRL
2000834,permit_holder_c,n_right_holder,2019-2020,WCRL
2000835,permit_holder_c,o_right_holder,2019-2020,WCRL
2000975,permit_holder_e,p_right_holder,2019-2020,WCRL
2000954,permit_holder_d,q_right_holder,2019-2020,WCRL
2000834,permit_holder_c,r_right_holder,2019-2020,WCRL
2001061,permit_holder_c,s_right_holder,2019-2020,SCRL
1911253,permit_holder_f,t_right_holder_community,2019-2020,WCRL
2000975,permit_holder_e,u_right_holder,2019-2020,WCRL
2001089,permit_holder_b,v_right_holder,2019-2020,WCRL
2000975,permit_holder_e,w_right_holder,2019-2020,WCRL
2000960,permit_holder_c,x_right_holder,2019-2020,WCRL
2000835,permit_holder_c,y_right_holder,2019-2020,WCRL
2000834,permit_holder_c,z_right_holder,2019-2020,WCRL
2000835,permit_holder_c,aa_right_holder,2019-2020,WCRL
2000866,permit_holder_d,ab_right_holder,2019-2020,WCRL
2000834,permit_holder_c,ac_right_holder,2019-2020,WCRL
2000960,permit_holder_c,ad_right_holder,2019-2020,WCRL
2000834,permit_holder_c,ae_right_holder,2019-2020,WCRL
2000897,permit_holder_i,af_right_holder,2019-2020,WCRL
2000663,permit_holder_g,ag_right_holder_community,2019-2020,WCRL
2000946,permit_holder_i,ah_right_holder,2019-2020,WCRL
2000704,permit_holder_d,ai_right_holder,2019-2020,WCRL
2000835,permit_holder_c,aj_right_holder,2019-2020,WCRL
2000698,permit_holder_a,ak_right_holder_community,2019-2020,WCRL
1911254,permit_holder_f,al_right_holder_community,2019-2020,WCRL
2000834,permit_holder_c,am_right_holder,2019-2020,WCRL
2000835,permit_holder_c,an_right_holder,2019-2020,WCRL
2000702,permit_holder_d,ao_right_holder,2019-2020,WCRL
2000708,permit_holder_d,ap_right_holder,2019-2020,WCRL
2000884,permit_holder_h,aq_right_holder,2019-2020,WCRL
2000833,permit_holder_c,ar_right_holder,2019-2020,WCRL
2000884,permit_holder_h,as_right_holder,2019-2020,WCRL
2000835,permit_holder_c,at_right_holder,2019-2020,WCRL
2000707,permit_holder_d,au_right_holder,2019-2020,WCRL
2001061,permit_holder_c,av_right_holder,2019-2020,SCRL
2000975,permit_holder_e,aw_right_holder,2019-2020,WCRL
2000975,permit_holder_e,ax_right_holder,2019-2020,WCRL
2001061,permit_holder_c,ay_right_holder,2019-2020,SCRL
2000955,permit_holder_d,az_right_holder,2019-2020,WCRL
2001061,permit_holder_c,ba_right_holder,2019-2020,SCRL
2000835,permit_holder_c,bb_right_holder,2019-2020,WCRL
2000867,permit_holder_d,bc_right_holder,2019-2020,SCRL
1911252,permit_holder_f,bd_right_holder_community,2019-2020,WCRL
2000833,permit_holder_c,be_right_holder,2019-2020,WCRL
2000728,permit_holder_j,bf_right_holder,2019-2020,SCRL
2000729,permit_holder_j,bg_right_holder,2019-2020,SCRL
2000975,permit_holder_e,bh_right_holder,2019-2020,WCRL
2000699,permit_holder_d,bi_right_holder,2019-2020,WCRL
2001061,permit_holder_c,bj_right_holder,2019-2020,SCRL
2000835,permit_holder_c,bk_right_holder,2019-2020,WCRL
2001061,permit_holder_c,bl_right_holder,2019-2020,SCRL
2000706,permit_holder_b,bm_right_holder_community,2019-2020,WCRL
2001089,permit_holder_b,bn_right_holder,2019-2020,WCRL
2000833,permit_holder_c,bo_right_holder,2019-2020,WCRL
1911251,permit_holder_f,bp_right_holder_community,2019-2020,WCRL
2000705,permit_holder_d,bq_right_holder,2019-2020,WCRL
2000777,permit_holder_c,br_right_holder,2019-2020,WCRL
2000897,permit_holder_i,bs_right_holder,2019-2020,WCRL
2000975,permit_holder_e,bt_right_holder,2019-2020,WCRL
2000975,permit_holder_e,bu_right_holder,2019-2020,WCRL
2000833,permit_holder_c,bv_right_holder,2019-2020,WCRL
