year,holiday_name,holiday_date
2017,New Years Day observed,2017/01/02
2017,Human Rights Day,2017/03/21
2017,Good Friday,2017/04/14
2017,Family Day,2017/04/17
2017,Freedom Day,2017/04/27
2017,Workers Day,2017/05/01
2017,Youth Day,2017/06/16
2017,National Womens Day,2017/08/09
2017,Heritage Day observed,2017/09/25
2017,Christmas Day,2017/12/25
2017,Day of Goodwill,2017/12/26
2017,DAFF closure,2017/12/27
2017,DAFF closure,2017/12/28
2017,DAFF closure,2017/12/29
2018,New Years Day observed,2018/01/01
2018,Human Rights Day,2018/03/21
2018,Good Friday,2018/03/30
2018,Family Day,2018/04/02
2018,Freedom Day,2018/04/27
2018,Workers Day,2018/05/01
2018,National Womens Day,2018/08/09
2018,Heritage Day,2018/09/24
2018,Day of Reconciliation observed,2018/12/17
2018,Christmas Day,2018/12/25
2018,Day of Goodwill,2018/12/26
2018,DAFF closure,2018/12/27
2018,DAFF closure,2018/12/28
2018,DAFF closure,2018/12/31
2019,New Years Day observed,2019/01/01
2019,Human Rights Day,2019/03/21
2019,Good Friday,2019/04/19
2019,Family Day,2019/04/22
2019,Workers Day,2019/05/01
2019,Election Day,2019/05/08
2019,Youth Day observed,2019/06/17
2019,National Womens Day,2019/08/09
2019,Heritage Day,2019/09/24
2019,Day of Reconciliation,2019/12/16
2019,Christmas Day,2019/12/25
2019,Day of Goodwill,2019/12/26
2019,DAFF closure,2019/12/27
2019,DAFF closure,2019/12/30
2019,DAFF closure,2019/12/31
2020,New Years Day observed,2020/01/01
2020,Good Friday,2020/04/10
2020,Family Day,2020/04/13
2020,Freedom Day,2020/04/27
2020,Workers Day,2020/05/01
2020,Youth Day,2020/06/16
2020,National Womens Day observed,2020/08/10
2020,Heritage Day,2020/09/24
2020,Day of Reconciliation,2020/12/16
2020,Christmas Day,2020/12/25
2017,Saturday,2017/01/07
2017,Sunday,2017/01/08
2017,Saturday,2017/01/14
2017,Sunday,2017/01/15
2017,Saturday,2017/01/21
2017,Sunday,2017/01/22
2017,Saturday,2017/01/28
2017,Sunday,2017/01/29
2017,Saturday,2017/02/04
2017,Sunday,2017/02/05
2017,Saturday,2017/02/11
2017,Sunday,2017/02/12
2017,Saturday,2017/02/18
2017,Sunday,2017/02/19
2017,Saturday,2017/02/25
2017,Sunday,2017/02/26
2017,Saturday,2017/03/04
2017,Sunday,2017/03/05
2017,Saturday,2017/03/11
2017,Sunday,2017/03/12
2017,Saturday,2017/03/18
2017,Sunday,2017/03/19
2017,Saturday,2017/03/25
2017,Sunday,2017/03/26
2017,Saturday,2017/04/01
2017,Sunday,2017/04/02
2017,Saturday,2017/04/08
2017,Sunday,2017/04/09
2017,Saturday,2017/04/15
2017,Sunday,2017/04/16
2017,Saturday,2017/04/22
2017,Sunday,2017/04/23
2017,Saturday,2017/04/29
2017,Sunday,2017/04/30
2017,Saturday,2017/05/06
2017,Sunday,2017/05/07
2017,Saturday,2017/05/13
2017,Sunday,2017/05/14
2017,Saturday,2017/05/20
2017,Sunday,2017/05/21
2017,Saturday,2017/05/27
2017,Sunday,2017/05/28
