fishID,dayID,fishnr,fishspp,FL_mm,sex,fishweight_kg,stomachcontents_g
23,6,1,Yellowtail,550,F,1.734,1.7
24,6,3,Yellowtail,535,F,1.646,0.2
5,3,4,Yellowtail,606,F,2.249,2.0
25,6,5,Yellowtail,587,M,2.248,2.5
26,6,6,Yellowtail,522,F,1.641,2.2
27,6,7,Yellowtail,605,F,2.209,2.2
9,4,9,Yellowtail,534,M,1.759,2.5
10,4,11,Yellowtail,521,F,1.772,48.2
11,4,13,Yellowtail,528,F,1.819,2.8
28,7,14,Yellowtail,844,M,6.894,19.8
17,5,17,Yellowtail,785,F,5.773,0.1
1,1,18,Yellowtail,815,F,5.870,24.5
6,3,19,Yellowtail,796,M,5.684,0.1
7,3,20,Yellowtail,804,F,5.878,1.5
2,1,22,Yellowtail,639,M,2.615,2.2
3,2,23,Yellowtail,675,F,3.276,0.3
12,4,26,Yellowtail,580,F,2.140,0.1
4,2,33,Yellowtail,620,F,2.501,0.5
13,4,37,Yellowtail,595,M,2.241,0.1
14,4,39,Yellowtail,551,F,1.799,5.8
18,5,41,Yellowtail,625,F,2.744,1.8
15,4,45,Yellowtail,625,M,2.413,1.7
16,4,47,Yellowtail,561,M,2.081,2.0
8,3,49,Yellowtail,605,F,2.414,0.4
19,5,51,Yellowtail,542,F,1.741,0.1
20,5,52,Yellowtail,548,F,1.847,0.8
21,5,53,Yellowtail,604,F,2.336,1.4
22,5,56,Yellowtail,615,F,2.367,2.0
29,8,57,Yellowtail,458,U,1.387,53.6
30,8,58,Yellowtail,459,F,1.292,20.1
31,8,59,Yellowtail,462,U,1.446,29.9
32,8,60,Yellowtail,458,U,1.387,29.5
33,8,61,Yellowtail,467,U,1.431,52.5
34,8,62,Yellowtail,455,U,1.403,24.1
35,8,63,Yellowtail,474,U,1.432,23.9
36,8,64,Yellowtail,460,U,1.048,72.6
37,8,65,Yellowtail,456,F,1.405,53.0
38,8,66,Yellowtail,465,F,1.404,65.5
39,8,67,Yellowtail,634,F,3.029,37.8
40,8,68,Yellowtail,453,F,1.322,30.6
41,8,69,Yellowtail,595,M,2.890,86.1
42,8,70,Yellowtail,651,M,3.412,27.9
43,8,71,Yellowtail,652,F,2.975,14.2
44,8,72,Yellowtail,462,U,1.337,18.8
45,8,73,Yellowtail,605,M,2.843,10.8
46,8,74,Yellowtail,445,M,1.220,49.5
47,8,75,Yellowtail,634,F,3.190,127.6
48,8,76,Yellowtail,459,F,1.414,72.5
49,8,77,Yellowtail,566,M,2.545,116.8
50,8,78,Yellowtail,459,F,1.295,102.9
51,8,79,Yellowtail,630,M,2.938,60.6
52,8,80,Yellowtail,657,M,3.079,19.9
53,8,81,Yellowtail,471,M,1.454,25.1
54,8,82,Yellowtail,684,M,3.860,102.0
55,8,83,Yellowtail,465,M,1.423,24.2
56,8,84,Yellowtail,545,F,2.378,2.2
57,8,85,Yellowtail,469,F,1.562,34.5
58,8,86,Yellowtail,622,F,2.870,43.5
59,8,87,Yellowtail,475,F,1.517,3.2
60,8,88,Yellowtail,456,F,1.395,58.0
61,8,89,Yellowtail,1005,F,12.900,44.1
62,8,90,Yellowtail,478,U,1.581,42.8
63,8,91,Yellowtail,448,M,1.338,24.7
64,8,92,Yellowtail,454,M,1.238,29.3
65,8,93,Yellowtail,465,M,1.467,51.1
66,8,94,Yellowtail,655,F,3.112,9.3
67,8,95,Yellowtail,595,M,2.727,48.6
68,8,96,Yellowtail,665,M,3.318,25.8
69,8,97,Yellowtail,462,F,1.462,57.5
70,8,98,Yellowtail,616,F,2.873,10.5
71,8,99,Yellowtail,459,F,1.379,10.9
72,8,100,Yellowtail,456,M,1.273,1.6
73,8,101,Yellowtail,494,U,1.632,13.9
74,8,102,Yellowtail,489,F,1.622,30.8
75,8,103,Yellowtail,618,M,2.854,1.6
76,8,104,Yellowtail,545,M,2.215,44.4
77,8,105,Yellowtail,945,F,9.650,289.2
78,8,106,Yellowtail,452,F,1.347,3.6
79,8,107,Yellowtail,610,F,2.787,96.0
80,8,108,Yellowtail,605,F,2.457,2.5
81,8,109,Yellowtail,452,F,1.281,4.9
82,8,110,Yellowtail,914,M,8.600,150.5
